Title,Downloads
President nominating committee candidates from Zone 9,635
Rotary Giving Works - for print,634
2017-18 Theme address - RI President-elect Ian H.S. Riseley - 2017 International Assembly,631
Additional Documentation Requirements by Country,629
Open World Program - Hosting Request Form,628
Cadre of Technical Advisers Site Visit Feedback Meetings,625
2020-21 Rotary Foundation Federal Tax Form 990,622
Board minutes - July 2020,614
Board minutes - October 2020,612
Cadre of Technical Advisers - Site Visits: What Project Sponsors Should Know,612
Young Professionals Toolkit Membership Passport,611
Alternative Housing Options - 2020 Rotary International Convention,609
Short-Term Youth Exchange Promotional Card,601
Rotary-USAID Partnership: Storytelling Guide for Rotarians,600
Board minutes - April 2018,599
Endowment Gift Discussion Presentation,598
Rotary Grants Travel Form,598
President nominating committee candidates from Zone 29,597
Rotary Wash in Schools Target Challenge Worksheets,596
Board Minutes - January 2017,596
Trustees meeting minutes - July 2020,590
Global Grant Agreement,589
Board minutes - January 2018,587
The Rotary Foundation Centennial Overview Presentation,584
Annual Report 2020-2021,578
Board minutes - May 2021,577
Report of Action - 2013 Council on Legislation,577
2020-21 Rotary International Federal Tax Form 990,573
Memorandum to Rotarians invited to serve as President’s Representatives at District Conferences,569
Board minutes - September 2020,566
Website banners - 2022 Rotary International Convention,557
Council on Resolutions 2018 results,556
2019-20 Rotary Foundation Federal Tax Form 990,553
How to Search People,553
"Every Rotarian, Every Year brochure - Middle East and Africa",552
Rotary Peace Centers: Making Peace a Reality - for print,551
Rotaract Preconvention Program,544
Transportation Guide and Venue Map - 2019 RI Convention,540
RI President-nominees Speech - 2021 Rotary Convention - Jennifer Jones,539
Board minutes - September and October 2021,538
Presidential Citation for Rotaract Clubs Goal Reporting Guide,538
Directions for Completing the Reimbursable Activities of Spouses Form,533
"Every Rotarian, Every Year brochure - Australia, Philippines, New Zealand and the Pacific Islands",533
Grant Model Evaluation - Year Two Report,531
Be A Vibrant Club: Your Club Leadership Plan - Central and Eastern Europe,528
How to start a project on Rotary Ideas,525
Board Minutes - January 2016,525
Board minutes - April 2021,522
Annual Report 2013-14 - Financial Overview - Rotary International and The Rotary Foundation,519
10 Ways to Improve Your Global Grant Application,518
Board Minutes - October 2015,514
Global Outlook: A Rotarian's Guide to the Race to End Polio,513
Rotary Award for Excellence in Service to Humanity - Order Form for District Governors,513
Governor-nominee Workbook,511
RITS Travel Request Form - 2020 International Assembly,511
Trustees meeting minutes - January 2021,504
Board minutes - July 2018,501
Membership Development Award - brochure,499
Hamburg train map - 2019 Rotary International Convention,496
Rotary WASH in Schools Target Challenge Recognition application,495
Young Professionals Toolkit Leadership Development Program,491
RI President’s Speech to the 2016 Rotary Convention - K.R. Ravindran,490
Rotary WASH in Schools Target Challenge Pamphlet,489
Sample web copy - 2022 Rotary International Convention,485
"Speech - Gary C.K. Huang, Trustee chair-elect - 2019 International Assembly",483
Protecting the Environment Through Global Grants,481
RI President-Elect’s Speech to the 2019 Rotary Convention - Mark Daniel Maloney,480
RI Presidents Speech - 2021 Rotary Convention - Holger Knaack,479
Representative Handbook - 2016 Council on Legislation,479
"What Will You Say When You’re Asked, What Is Rotary?",478
Gift Intent Form - The Rotary Foundation,477
Award Certificate Template,475
Rotary and COVID-19 Vaccine Response Messaging,475
Arch Klumph Society Newsletter,474
How to Use the Program Participants and Alumni Report,468
Board minutes - May 2019,464
Board minutes - June 2021,462
How to Create a Rotary Global Rewards Offer,457
Board minutes - April 2020,456
General Secretary’s Speech to the 2015 Rotary Convention - John Hewko,456
Logo options and color chart 2020 RI convention,455
PolioPlus Pioneer Award,454
"Each One, Bring One Talking Points",453
How to Plan a Successful End Polio Now Lighting,448
RI Presidents Closing Remarks - 2021 Rotary Convention - Holger Knaack,448
Group Housing Guidelines - 2021 Rotary International Convention,441
Rotary People of Action: Champions of Health Sample Survey,440
Trustee chair and incoming chair expenses,439
Trustees meeting minutes - August 2020,436
Abuse and Harrassment Allegation Reporting Guidelines,432
New reporting and expense system,431
Centennial toolkit - The Rotary Foundation,424
Lapel pin designs - 2021 Rotary International Convention,422
Endowment Designations and Naming Opportunities,422
Rotary WASH in Schools Target Challenge Welcome letter,421
MyRotary Account Registration for Club Officer,421
Service Award for a Polio-Free World - Guidelines,420
Youth Exchange Officers Preconvention Program,418
Trustees meeting minutes - August 2019,417
Project Fairs,417
Club Brochure Kit,414
Trustees meeting minutes - October 2020,411
Rotary Showcase - User Guide,411
Give the Gift of Rotary,404
Data Integration Guide,397
RYLA promotional card,397
Expense Report Explanation Form - Rotarian,395
"Your Legacy, Rotary’s Promise pocket card",391
Rotary Peace Fellow Handbook for the Professional Development Certificate Program,390
How to Use the Grant Center: Global Grant Scholars,389
Be A Vibrant Club: Your Club Leadership Plan - Caribbean,389
Service Award for a Polio-Free World - Form,388
Trustees meeting minutes - November 2020,386
Official Housing Block - 2022 Rotary International Convention,386
Workplace Giving Programs in Canada - Frequently Asked Questions,384
"Your Support from Rotary Staff - John Hewko, RI General Secretary - 2015 International Assembly",384
Hearts of Europe Global Grants Application Appendix,384
Matching Grants Report Form (.doc),383
VC20 Walking Challenge QR Code 3 - Action Plan,382
Board Minutes - January 2014,380
Rotary Peace Fellowships - Press release template,378
Presidential Citation Recipients - Rotaract,376
Membership Development Award - certificate template (A4),376
Webinar Series Descriptions,372
Group Housing Guidelines - 2020 RI Convention,367
Board minutes - March 2021,367
Rotary’s Promise Club Recognition Summary,366
Travel Insurance Program - President’s Representative,366
Trustees meeting minutes - January 2019,366
How to Find Deals in Rotary Global Rewards - Mobile Browser,365
Gmail Password Reset,364
Annual Report 2010-11 - Rotary International and The Rotary Foundation,363
"Rotary Foundation - Your Legacy, Rotary's Promise",362
Rotary Peace Fellowship Application Guidelines,361
"Speech - Ron D. Burton, Trustee chair-elect - 2018 International Assembly",360
My Rotary Log in Log Out,348
RI President’s Closing Remarks to the 2019 Rotary Convention - Barry Rassin,348
Governors-elect Training Seminar Leaders’ Guide,347
RI President-nominee’s Speech to the 2017 Rotary Convention - Sam F. Owori,346
Trustees meeting minutes - December 2020,346
Trustees meeting minutes - June 2020,345
Smartphones Audience User Guide - 2021 Rotary Convention,345
Trustees meeting minutes - June 2019 (2018-19 Trustees),344
Trustees meeting minutes - June 2019 (2019-20 Trustees),343
Trustee Minutes - October 2018,342
Club Reinstatement Application,341
Annual Report 2012-13 - Financial Overview - Rotary International and The Rotary Foundation [187-EN],340
Emergency Phone List for São Paulo - 2015 Rotary International Convention,340
Master's Fellowship Application Worksheet - Rotary Peace Fellowship,340
Vote Totals - 2016 Council on Legislation,339
General Secretary’s Report - 2015 RI Convention,338
New Generations Service Exchange promotional card,335
Trustees meeting minutes - April 2021,334
RI Recognition of Rotaract Outstanding Projects Recipients,334
Guidelines for President's Representative,332
Board minutes - November 2021,331
2020-21 Programs of Scale Award Recipient: Partners for a Malaria-Free Zambia,331
Club Privacy Policy Template - non-EU,331
"Every Rotarian, Every Year brochure - Southeast Asia",331
Digital still ad - 2021 Rotary International Convention,327
Samuel F. Owori - Vision and Goals for Rotary,326
Membership Data Email Address Registration,322
Council on Resolutions 2017 results,321
"Regional Membership Supplement  - USA, Canada, & Caribbean Islands",321
Ballot 2 Exhibit A,320
Endowment Postcard,319
Trustees meeting minutes - October 2019,317
Decision 94 - January 2017 Rotary Board meeting (New Zone Structure),316
Scholarship for Water and Sanitation Professionals - Application Toolkit,312
World Polio Day sample press release template,311
"Every Rotarian, Every Year brochure - Other countries and regions",311
Regional Membership Supplement - Asia,310
Board Minutes - April 2016,310
Sample Constitution of the Rotaract Multidistrict Information Organization (MDIO),308
Speech - RI President Shekhar Mehta - 2022 International Assembly,307
"Speech - John Hewko, General Secretary - 2022 International Assembly",304
JA Rotary Club Central Assistant Governor Training for Clubs,303
COVID-19 Travel Policy,301
Report on the Recruitment of RI and TRF Alumni as Prospective Rotarians - Full Report,300
Practice Lab Guide for Trainers,300
Trustee and Board Action on 2010 Council on Legislation Resolutions,299
Rotary Cadre Recruitment Needs: Central America and the Caribbean,299
註冊及購劵表-2021年國際扶輪年會,297
Access RI website,293
2013 Rotary International Convention Proceedings,293
Social Media Guidelines - 2022 Rotary International Convention,292
Trustees meeting minutes - June 2021,291
Charter Application - Rotary Foundation Alumni Association,288
RI Treasurer’s Report to the Convention - June 2019,287
Interact promotional card,287
Trustees meeting minutes - May 2021,286
End Polio Now lighting sample press release,286
Rotaract Promotional Card,286
Board Minutes - October 2012,282
District Service Awards Order Form,281
June 2017 Board Meeting Decision B-18 and Exhibit,281
Trustee Minutes – June 2014,280
Endowment Magazine Advertisement,279
Report of the President's Representative to the President of Rotary International,278
Guidelines for Aides to RI Officers,278
IC20 Sponsorship opportunities,277
Pocket Guide to Planning a Legacy,274
Endowment Banner,274
Board minutes - July 2017,273
Rotary Scholar Flier,272
Rotary Cadre Recruitment Needs: North America,271
Trustee minutes - April 2018,269
District Privacy Policy Template - EU,267
Board Minutes - July 2014,267
RI Treasurer's Report - 2021 Rotary Convention,267
Governors-nominee Training Seminar Leaders’ Guide,267
Trustee Minutes - August 2018,266
Award template,266
Rotary Cadre Recruitment Needs: South America,266
Hearts of Europe Global Grants Agreement,264
Sushil Gupta Interview,263
Trustees meeting minutes - October and November 2021,263
Rotary Fellowships infographic,263
Trustee Minutes - January 2016,262
Direct Debit Rotary Dues Form - France,262
Gmail Address Registration,259
Trustee minutes - June 2018,259
General Secretary’s Speech to the 2019 Rotary Convention - John Hewko,258
General Secretarys Speech - 2021 Rotary Convention - John Hewko,255
Rotary and COVID-19 Letter to the editor template,255
Trustee Minutes - January 2018,254
Public Relations Survey Results,253
Trustee minutes - January 2017,252
How to Form a Rotary Foundation Alumni Association,250
Positioning Rotary on the Global Stage,248
Trustee Chairs Speech - 2021 Rotary Convention - K.R. Ravindran,246
Rotary grants graphic,246
Board Minutes - July 2016,245
Board Minutes - May 2016,245
Report of Action - 2010 Council on Legislation,244
Group Housing Guidelines - 2022 Rotary International Convention,243
RI President-Elect’s Speech to the 2016 Rotary Convention - John F. Germ,243
Drafting Proposed Legislation - 2016 Council on Legislation,242
2016-17 Theme Address - RI President-elect John F. Germ,241
2017-18 Rotary Foundation Federal Tax Form 990-T - Exempt Organization Business Income Tax Return,239
International Agency for the Prevention of Blindness and Rotary Fact Sheet,238
Trustee Minutes - April 2016,235
Alternative Housing Options - 2021 Rotary International Convention,232
Gift Levels and Recognition Summary,232
Minutes of the January 2014 Meeting of the Trustees of The Rotary Foundation,230
Trustee minutes - June 2017 - 2017-18 Trustees,230
RI President’s Closing Remarks to the 2018 Rotary Convention - Ian H.S. Riseley,222
Board minutes - July 2021,222
Sample Bylaws of the Rotaract Multidistrict Information Organization (MDIO),221
"Nepal Statement - Gary C.K. Huang, 2014-15 Rotary International President",220
USAID-Rotary in Italy: Communities Against COVID-19 Grant Application,214
Trustee Minutes - September 2016,212
Practice Lab Tips Appendix,210
Payment Instructions by Country,209
Trustee minutes - June 2017 - 2016-17 Trustees,209
Board Minutes - October 2014,208
Brand Center promotional postcard,207
Trustee Chair’s Speech to the 2019 Rotary Convention - Brenda Cressey,207
Trustee Chair’s Speech to the 2018 Rotary Convention - Paul A. Netzel,205
"Speech - Ian H.S. Riseley, Trustee Chair-elect - 2022 International Assembly",205
How To Find Deals in Rotary Global Rewards - Desktop Browser,204
Rotary Day Press Release Template,204
"Support for Your Year - John Hewko, RI General Secretary",204
"2020-21 Programs of Scale Honorable Mention: Sustainable Improvement of Reproductive, Maternal, and Child Health in Nigeria",203
International RYLA 2014 Fact Sheet,200
USAID-Rotary in Italy: Communities Against COVID-19 Grant Terms and Conditions,198
Minutes of the June 2013 Meeting of the Trustees of The Rotary Foundation,197
Partner Funded Travel Expenses Form,196
District Privacy Policy Template - non-EU,194
Trustee Minutes - June 2016,194
Rotary Citation for Rotaract Clubs 2017-18,193
Grant Model Evaluation Summary - 2015-2016,190
Rotary International Buyer’s Terms and Conditions of Sale,187
"General Secretary’s Speech - John Hewko - 2014 RI Convention - Sydney, Australia, 4 June 2014",187
"Rational Rotarianism, by Paul P. Harris, 1911",186
Missing Receipt Form - Rotarians,186
Trustee Minutes - October 2015,186
"President’s welcome - Sakuji Tanaka, 2012-13 RI President - 2013 RI Convention",185
Rotary Citation for Interact Clubs 2017-18,181
Trustee Minutes - September 2017,180
Direct Debit Rotary Dues Form - Italy,180
Board Minutes - July 2015,177
Minutes of the April 2014 Meeting of the Trustees of The Rotary Foundation,177
How to Add Program Participation Information,176
Board Minutes - May 2014,176
Atlanta Business Chronicle insert - 2017 Rotary Convention,175
Hearts of Europe Global Grants logos,171
Hotel Reservation Form - 2019 Rotary International Convention,170
Publicly Traded Securities - Gifts of Stock to The Rotary Foundation - Canada,169
RI Treasurer’s Report to the Convention - June 2016,166
Your Rotary Legacy 331,166
General Secretary’s Speech to the 2018 Rotary Convention - John Hewko,165
"RI Treasurer’s Report to the Convention - June 2014 - Sydney, Australia",165
Defective Legislation - 2016 Council on Legislation,162
Positive Peace Impact Colombia and Mexico,161
Rotary Cadre Recruitment Needs: West and Central Africa,160
Professional Certificate Application Worksheet - Rotary Peace Fellowship,158
Membership Development Award - template guidelines,158
2020-21 Programs of Scale Finalist: Every Child Learning Well,157
2020-21 Programs of Scale Finalist: Save to Grow 2.0 (S2G2),155
Trustees meeting minutes - February 2021,154
RI President-nominee’s Speech to the 2018 Rotary Convention - Mark Daniel Maloney,153
Trustee and Board Action on 2013 Council on Legislation Resolutions,151
Rotary Peace Centers Fellowships Brochure,151
Coordinated Contact List,151
Rotary Miles - Instructions,149
Rotary Cadre Recruitment Needs: Europe,146
"Your Partners for Change and Strategy - John Hewko, General Secretary - 2017 International Assembly",146
General Secretary’s Report - 2014 RI Convention,145
Board Minutes - May 2015,145
Resolution Template - 2016 Council on Legislation,144
RI Treasurer’s Report to the Convention - June 2015,143
RI Treasurer’s Report - 2018 Rotary Convention,143
Rotary Cadre Recruitment Needs: East and South Africa,142
Rotary Peace Symposium 2019 - program,142
RI Publications Order Form,141
"Every Rotarian, Every Year brochure - Great Britain and Ireland",140
Board Minutes - July 2012,139
Minutes of the January 2013 Meeting of the Trustees of The Rotary Foundation,139
2020 Triennial Strategic Planning Survey Results,138
RI President’s Closing Remarks to the 2016 Rotary Convention - K.R. Ravindran,137
"Ron D. Burton, 2013-14 RI President-elect - Speech - 2013 RI Convention",136
Board minutes - July 2013,136
"Rotary Foundation keynote address - Wilfrid J. Wilkinson, 2012-13 Rotary Foundation Trustee Chair - 2013 RI Convention",131
Cadre of Technical Advisors - Empowering Women and Girls,131
Interview with Samuel F. Owori,131
"Acceptance remarks - Gary C.K. Huang, 2014-15 RI President - 2013 RI Convention",129
General Secretary’s Report - 2016 Rotary Convention,129
Direct Debit Rotary Dues Form - Germany,129
"Focus for the Year - Paul A. Netzel, Trustee chair-elect - 2017 International Assembly",129
How to Edit Program Participation Information,128
Report of the District Governor on the President’s Representative to the President of Rotary International,128
"Foundation Goals for 2013-14 - Dong Kurn (D.K.) Lee, 2013-14 Rotary Foundation Trustee Chair - 2013 RI Convention",128
Rotary’s Promise Club Announcement,127
General Secretary’s Speech to the 2016 Rotary Convention - John Hewko,127
Trustee Chair’s Speech to the 2017 Rotary Convention - Kalyan Banerjee,126
Alternative Housing Options - 2019 Rotary International Convention,125
Hearts of Europe Global Grants Branding Guidelines,122
Trustee Minutes - June 2015,122
Events at a glance - 2015 Rotary International Convention,121
Trustee Minutes - April 2015,121
"President’s closing remarks - Sakuji Tanaka, 2012-13 RI President - 2013 RI Convention",121
Rotary’s Promise Club Frequently Asked Questions,121
"2020-21 Programs of Scale Honorable Mention: Infrastructure Improvements to Water Systems, Helping Communities and Schools",120
Membership Development Award - certificate template (US Letter),118
RI President-nominee’s Speech to the 2016 Rotary Convention - Ian H.S. Riseley,118
USAID-Rotary in Italy: Communities Against COVID-19 Grant Branding Guidelines,117
推廣用小冊 – 2021年國際扶輪年會,116
USAID Guidance on Procuring Personal Protective Equipment,116
Rotary Cadre Recruitment Needs: South Asia,116
Be a Vibrant Club: Your Club Leadership Plan - Korea,114
PR Grant Report Form,112
General Secretary’s Report to the 2013 RI Convention,112
USAID-Rotary in Italy: Communities Against COVID-19 Grant Provisions Policy,111
"Secretariat update - John Hewko, General Secretary - 2013 RI Convention",109
RI Treasurer’s Report to the 2013 RI Convention,108
飯店預訂申請表 -2021年國際扶輪年會,107
Media Guide - 2017 RI Convention,105
RI Treasurer’s Report - 2017 Rotary Convention,103
Minutes of the April 2013 Meeting of the Trustees of The Rotary Foundation,101
Trustee Chair’s Speech to the 2016 Rotary Convention - Ray Klinginsmith,100
Trustees Minutes - January 2015,99
Board Minutes - January 2015,99
District Governor Appointment News Release Template,99
General Secretary’s Speech to the 2017 Rotary Convention - John Hewko,96
United Nations-Rotary Outreach Programme,95
團體註冊表 - 2021年國際扶輪年會,93
Board minutes - October 2013,93
Regional Membership Supplement - Europe,92
District 2232 Medical Needs List,91
Travel Report Form - Grants Travel Medical & Accident Insurance Program,91
General Secretary’s Report - 2017 Rotary Convention,91
RI President-Elect’s Speech to the 2017 Rotary Convention - Ian H.S. Riseley,90
"Regional Membership Supplement - Australia, New Zealand, and Pacific Islands",90
PR Grant Reimbursement Form,88
RI Presidents Speech - 2020 Rotary Convention - Mark Daniel Maloney,87
Direct Debit Rotary Dues Form - Portugal,87
Rotary Cadre Recruitment Needs: Southeast Asia,86
Minutes of the October 2013 Meeting of the Trustees of The Rotary Foundation,85
The Rotary Foundation and Aga Khan University Scholar Mentoring Program - Guidelines and Suggested Activities for Mentoring Clubs,84
Rotary Miles donation summary form,82
Peacebuilding Summit Share Graphics - 2018 Rotary Convention,82
2016-17 Rotary Foundation Federal Tax Form 990-T - Exempt Organization Business Income Tax Return,81
General Secretary's Letter - Paul P. Harris Funeral,81
Preliminary Report of the 2010 Council on Legislation,81
Trustee Minutes - October 2014,80
Ideas Book: Our Identity in Action,79
團體註冊指針 - 2021年國際扶輪年會,78
Direct Debit Rotary Dues Form - Spain,78
Social media graphics - Twitter - 2019 Rotary International Convention,75
Preliminary Report of the 2013 Council on Legislation,74
Literacy Kit: Bookmark,73
Minutes of the October 2012 Meeting of the Trustees of The Rotary Foundation,73
Rotary Cadre Recruitment Needs: Oceania,72
Position Statement on COVID-19 - Rotary International and The Rotary Foundation,72
RI President’s Closing Remarks to the 2015 Rotary Convention - Gary C.K. Huang,71
Board minutes - June 2013,70
Rotary International Convention News Release Template,70
Peace Fellows feature - The Rotarian - February 2016,69
Hearts of Europe Global Grants USAID Provisions Policy,68
"Passing Our Tenth Milestone, by Paul P. Harris, 1915",68
Trustees meeting minutes - August 2021,67
Board Minutes - January 2013,65
TRF Cadre of Technical Advisers presentation,65
Rotary Ideas FAQ,64
Rotary Cadre Recruitment Needs: Middle East and North Africa,61
How to Check Project Contributions on Rotary Ideas,60
"The Message of Paul P. Harris to the Boston Convention, 1933",56
Regional Membership Supplement - Middle East and Africa,56
2015-16 Presidential Conferences,55
Hamburg Transportation Guide,54
Audited Financial Statements of Rotary International FY2016,54
What’s new for the 2016 Council on Legislation,54
How to add a personal fundraising page,53
Investment Philosophy Statements - The Rotary Foundation,53
KUDO login instructions,53
System outage explanation letter - RI chief information officer,52
Rotary Peace Fellowships brochure/poster,51
Regional Membership Supplement - Latin America,51
Paul Harris Society brochure - Latin America - for print,51
Opposition to Legislation Adopted by the 2016 Council on Legislation,50
成為贊助者 – 2021年國際扶輪年會,49
Pledge contributions mailing addresses,49
General Secretarys Speech - 2020 Rotary Convention - John Hewko,48
Women in Rotary Survey Findings,48
How to Search Projects on Rotary Ideas,47
Rotary Community Corps Visual Identity Guidelines,47
PPT簡報－2021年國際扶輪年會,45
The Rotarian Photo Contest 2013-14 - Official Rules,42
Contest 1 results - 2017 RI Convention,41
Membership Monthly Comparison to Start Figures - Current,39
團體住宿規定 - 2021年國際扶輪年會,38
New Generations Service Exchange Survey Results,38
Better Together - brochure,36
RI President’s Speech to the 2015 Rotary Convention - Gary C.K. Huang,36
社群媒體準則與圖形－2021年國際扶輪年會,36
Trustee Chairs Speech - 2020 Rotary Convention - Gary C.K. Huang,36
Trustee Chair’s Speech to the 2015 Rotary Convention - John Kenny,35
How to Connect Projects to PayPal on Rotary Ideas,35
São Paulo Visa Information - 2015 Rotary International Convention,35
Rotary International President's Visit - News Release Template,35
How to check project contributions on a personal fundraising page,34
Commerce Bank Terms - Rotary Club Business Credit Card,34
Hamburg hotel to venue transportation guide - 2019 Rotary International Convention,33
Rotaract Survey 2018-2019 Phase 3,33
Direct Debit Rotary Dues Form - Austria,33
Empowering Girls Projects in Rotary Showcase - Frequently asked questions,32
VR Instructions Android,32
Host Event Ticket Order Form - 2015 RI Convention,31
Opposition Results - 2010 Council on Legislation,31
品牌準則－2021年國際扶輪年會,31
2015-16 Rotary Foundation Federal Tax Form 990-T - Exempt Organization Business Income Tax Return,30
"Every Rotarian, Every Year brochure - South America - Antaractica, Argentina, Bolivia, Chile, Paraguay, Uruguay",29
"Water, Sanitation, and Hygiene in Schools Target Challenge - Program Evaluation Report",29
"General Secretary’s Address to Business Session - John Hewko - 2014 RI Convention - Sydney, Australia, 3 June 2014",28
Spouse Registration Options - 2015 International Assembly,28
Contest 2 results - 2017 RI Convention,28
Rotaract Survey 2018-2019 Phase 2,27
Audited Financial Statements of The Rotary Foundation FY2016,26
數位電子靜止廣告－2021年國際扶輪年會,25
VR Instructions Apple,25
信函樣本－2021年國際扶輪年會,25
網站橫幅－2021年國際扶輪年會,24
Reprint Permission Request,24
Opposition to Legislation Report Form - 2013 Council on Legislation,24
網站文案樣本－2021年國際扶輪年會,24
"2013-14 President-Elect’s Keynote Speech - Gary C.K. Huang - 2014 RI Convention - Sydney, Australia, 4 June 2014",22
推廣用傳單－2021年國際扶輪年會,22
Rotary Peace Center: Makerere University brochure,22
易拉展示架－2021年國際扶輪年會,22
"2013-14 Trustee Chair Keynote Address - D.K. Lee – 2014 RI Convention - Sydney, Australia, 2 June 2014",21
Rotary Carnival graphic - 2015 Rotary Convention,21
"Computer-Assisted Literacy Solution (CALS) letter – John F. Germ, President, Rotary International 2016-17",19
"Every Rotarian, Every Year brochure - Brazil",19
Investment Philosophy Statement - Rotary International General Fund,18
Group Housing Guidelines - 2019 Rotary International Convention,17
2018 Convention Webinar Frequently Asked Questions,16
How to Edit your Project in Rotary Ideas,16
Rotaract Survey 2018-2019 Phase 1,15
Constructing Low Cost Shelters with Habitat for Humanity Using Global Grants,14
Rotary Peace Centers: Endowment Naming Opportunities,13
"""I [heart] Brazil"" sign - 2015 Rotary Convention",13
How to Remove Requests in Rotary Ideas,12
RI President-Elect’s Speech to the 2015 Rotary Convention - K.R. Ravindran,12
"2013-14 President’s Keynote Address - Ron Burton - 2014 RI Convention - Sydney, Australia, 1 June 2014",11
Sponsorship Opportunities - 2019 RI Convention,10
"2013-14 President-Nominee’s Speech - K.R. Ravindran - 2014 RI Convention - Sydney, Australia, 4 June 2014",9
"2013-14 President’s Closing Remarks - Ron D. Burton - 2014 RI Convention - Sydney, Australia, 4 June 2014",8
Direct Debit Rotary Dues Form - Belgium,8
Contest 3 results - 2017 RI Convention,8
"""I [heart] Brazil"" graphic - 2015 Rotary Convention",6
Schedule at a Glance - 2021 Rotary Virtual Convention ZH,5
Automobile Reimbursement Rates,5
RI President-nominee’s Speech to the 2015 Rotary Convention - John Germ,4
Smartphones Audience User Guide - 2021 Rotary Convention ZH,4
Cooking Class Menu and Schedule - 2021 Rotary Virtual Convention ZH,4
Council on Legislation - Travel insurance FAQ,4
"""Join me in São Paulo"" sign - 2015 Rotary Convention",3
Test File,2
How to Update Rotaract and Interact Club Information,1
Recommended Rotary Club Bylaws,1
Breakout Session Proposal Form - 2016 RI Convention,1
Rotary Foundation Reference Guide,1
Personal Hotel Stay Extension Form - 2016 Council on Legislation,1
Handbuch für Distriktsausschsse,1
